lemma,BH_enriched,BR_enriched,CC_enriched,DC_enriched,DS_enriched,ED_enriched,GE_enriched,HT_enriched,LD_enriched,MC_enriched,NN_enriched,OCS_enriched,OMF_enriched,OT_enriched,PP_enriched,TTC_enriched
say,2595.0,1410.0,215.0,2973.0,2707.0,490.0,1383.0,707.0,2152.0,2760.0,2664.0,1412.0,2355.0,1228.0,3399.0,654.0
reply,178.0,165.0,19.0,244.0,219.0,48.0,82.0,33.0,123.0,205.0,720.0,223.0,232.0,504.0,1063.0,26.0
cry,175.0,466.0,56.0,237.0,310.0,57.0,81.0,50.0,196.0,625.0,417.0,252.0,228.0,217.0,141.0,83.0
return,416.0,256.0,28.0,353.0,455.0,73.0,120.0,128.0,343.0,285.0,251.0,247.0,367.0,47.0,43.0,61.0
ask,216.0,69.0,20.0,213.0,175.0,55.0,145.0,62.0,165.0,190.0,176.0,57.0,289.0,106.0,40.0,80.0
voice,121.0,180.0,21.0,148.0,188.0,38.0,59.0,44.0,133.0,145.0,193.0,120.0,118.0,112.0,162.0,79.0
tell,239.0,85.0,9.0,230.0,103.0,27.0,104.0,40.0,118.0,103.0,62.0,88.0,106.0,52.0,42.0,38.0
answer,89.0,163.0,10.0,126.0,136.0,38.0,71.0,41.0,102.0,133.0,96.0,66.0,145.0,35.0,32.0,64.0
speak,106.0,99.0,8.0,94.0,114.0,30.0,44.0,29.0,103.0,99.0,105.0,67.0,88.0,77.0,77.0,47.0
laugh,103.0,56.0,31.0,159.0,60.0,20.0,51.0,18.0,77.0,123.0,101.0,51.0,122.0,57.0,116.0,21.0
inquire,65.0,20.0,6.0,84.0,89.0,12.0,8.0,5.0,42.0,72.0,131.0,32.0,66.0,116.0,338.0,11.0
repeat,92.0,48.0,4.0,63.0,93.0,29.0,46.0,26.0,86.0,90.0,75.0,33.0,116.0,21.0,50.0,42.0
word,55.0,63.0,5.0,64.0,80.0,14.0,44.0,19.0,73.0,84.0,61.0,46.0,76.0,63.0,84.0,41.0
add,49.0,77.0,2.0,40.0,57.0,22.0,32.0,11.0,60.0,106.0,70.0,54.0,74.0,33.0,77.0,25.0
whisper,69.0,71.0,2.0,62.0,79.0,8.0,20.0,16.0,45.0,75.0,56.0,52.0,44.0,49.0,105.0,34.0
sound,60.0,75.0,11.0,57.0,67.0,17.0,21.0,18.0,60.0,54.0,63.0,62.0,50.0,54.0,72.0,36.0
rejoin,12.0,74.0,1.0,29.0,20.0,6.0,0.0,6.0,16.0,67.0,224.0,77.0,26.0,101.0,104.0,11.0
observe,84.0,16.0,8.0,62.0,90.0,11.0,19.0,14.0,47.0,149.0,80.0,22.0,45.0,31.0,66.0,13.0
tone,43.0,64.0,0.0,41.0,57.0,22.0,24.0,14.0,54.0,63.0,85.0,32.0,82.0,34.0,72.0,27.0
exclaim,33.0,23.0,13.0,70.0,54.0,9.0,14.0,6.0,23.0,37.0,88.0,13.0,70.0,57.0,148.0,16.0
call,57.0,67.0,6.0,62.0,50.0,8.0,48.0,16.0,43.0,42.0,55.0,49.0,42.0,29.0,60.0,30.0
remark,35.0,31.0,1.0,37.0,26.0,21.0,18.0,9.0,56.0,51.0,81.0,36.0,108.0,21.0,46.0,10.0
silence,32.0,69.0,2.0,38.0,54.0,19.0,15.0,14.0,30.0,46.0,64.0,36.0,44.0,39.0,57.0,25.0
retort,20.0,38.0,3.0,21.0,43.0,16.0,31.0,12.0,38.0,82.0,76.0,38.0,63.0,21.0,16.0,6.0
low,40.0,34.0,1.0,46.0,62.0,14.0,22.0,20.0,34.0,28.0,32.0,22.0,45.0,33.0,38.0,25.0
